tokenizer,lang,tok_per_word,tok_per_grapheme,tok_per_byte,tok_per_char,tok_per_sentence,total_tokens,total_sentences,total_words
gpt2,eng,1.303510758776897,0.24112106180653753,0.24061879377025192,0.24112106180653753,16.114,32228,2000,24724
gpt2,hin,7.080526333824487,2.1699466521045117,0.5908030399203994,1.4845354158733808,103.3155,206631,2000,29183
gpt2,kan,15.571428571428571,2.7623287671232877,0.903888536102499,2.062827671454755,52.71895424836601,48396,918,3108
gpt2,tam,21.673948567988305,3.7952259036144578,0.9783142913711378,2.5487029077117573,126.0015,252003,2000,11627
gpt2,tel,16.165709062418387,3.7466557714424065,0.9623373392826604,2.36836869392206,61.8985,123797,2000,7658
gpt2,ben,11.329954576043068,2.9776055886546775,0.745258119847286,1.9571418192385934,134.6905,269381,2000,23776
xlm-roberta-base,eng,1.4484306746481153,0.26792808565079795,0.2673699771536084,0.26792808565079795,17.9055,35811,2000,24724
xlm-roberta-base,hin,1.5598122194428263,0.47803074855078553,0.13015159572947224,0.3270373377206532,22.76,45520,2000,29183
xlm-roberta-base,kan,2.712998712998713,0.4812785388127854,0.1574838444585559,0.35940496995013,9.185185185185185,8432,918,3108
xlm-roberta-base,tam,2.520942633525415,0.44143072289156626,0.11378979692455811,0.29644500632111254,14.6555,29311,2000,11627
xlm-roberta-base,tel,2.3397753982763123,0.5422795230312935,0.13928576981079274,0.34279045742381054,8.959,17918,2000,7658
xlm-roberta-base,ben,1.9651749663526246,0.5164642032077286,0.12926464892380898,0.33946527172333624,23.362,46724,2000,23776
